"year","month","day","sex","age","body_length"
1981,NA,NA,NA,NA,NA
1981,NA,NA,"f",NA,NA
1981,NA,NA,"m",19,NA
1982,NA,NA,"m",12,NA
1982,NA,NA,"f",12,NA
1982,NA,NA,"f",9,NA
1982,NA,NA,"m",18,NA
1982,NA,NA,NA,NA,NA
1982,NA,NA,"m",5,NA
1982,NA,NA,"m",24,NA
1983,NA,NA,"m",2,NA
1983,NA,NA,"m",7,NA
1983,NA,NA,"m",0,NA
1983,NA,NA,"f",3,NA
1983,NA,NA,"m",11,NA
1983,NA,NA,"f",13,NA
1983,NA,NA,"m",2,NA
1983,NA,NA,"m",20,NA
1986,4,29,"m",25,NA
1986,4,29,"m",23,NA
1986,4,29,"f",25,NA
1986,4,30,"f",29,NA
1986,4,30,"m",25,NA
1986,5,1,"m",8,NA
1986,5,1,"m",3,NA
1986,5,1,"f",17,NA
1986,5,15,"m",2,NA
1986,5,25,"f",8,NA
1986,5,31,"m",7,NA
1986,5,25,"m",NA,NA
1986,5,25,"m",NA,NA
1986,5,29,"m",12,NA
1986,5,10,"m",6,NA
1986,6,6,"m",22,NA
1986,6,NA,"f",10,NA
1986,6,2,"f",14,NA
1986,6,5,"f",3,NA
1986,6,1,"m",11,NA
1986,6,1,"m",15,NA
1986,6,5,"m",26,NA
1986,6,NA,"m",6,NA
1986,6,NA,"f",6,NA
1986,NA,NA,"f",20,NA
1987,5,NA,"m",NA,NA
1987,5,NA,"f",NA,NA
1987,5,NA,"m",NA,NA
1987,5,NA,"m",NA,NA
1987,5,NA,"f",NA,NA
1987,5,NA,"f",NA,NA
1987,5,NA,"m",NA,NA
1987,5,NA,"m",NA,NA
1987,5,NA,"f",NA,NA
1987,5,NA,"m",NA,NA
1987,NA,NA,"m",6,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,"m",NA,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,"m",NA,NA
1987,NA,NA,"m",NA,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,NA,NA,NA
1987,NA,NA,"f",10,NA
1987,NA,NA,"f",5,NA
1987,NA,NA,NA,NA,NA
1987,NA,NA,"f",6,NA
1987,NA,NA,"f",5,NA
1987,NA,NA,"f",5,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,"f",16,NA
1987,NA,NA,"m",14,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,"m",NA,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,"f",23,NA
1987,NA,NA,"m",3,NA
1987,NA,NA,"m",NA,NA
1987,NA,NA,"f",18,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,"m",NA,NA
1987,NA,NA,"m",10,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,"m",14,NA
1987,NA,NA,"m",NA,NA
1987,NA,NA,"m",13,NA
1987,NA,NA,"m",10,NA
1987,NA,NA,"m",12,NA
1987,NA,NA,"m",5,NA
1987,NA,NA,"m",3,NA
1987,NA,NA,"f",22,NA
1987,NA,NA,NA,NA,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA
1987,NA,NA,"f",NA,NA
1987,NA,NA,"f",18,NA
1987,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA
1988,5,NA,"f",4,135
1988,5,NA,"m",10,138.5
1988,5,NA,"f",4,143
1988,5,NA,"m",6,132
1988,5,NA,"f",4,123
1988,5,NA,"f",13,133
1988,5,NA,"f",3,110
1988,5,NA,"f",2,112.5
1988,NA,NA,"m",19,131
1988,NA,NA,"m",8,134
1988,NA,NA,"m",25,135
1988,NA,NA,"m",12,148
1988,NA,NA,"f",26,NA
1988,NA,NA,"f",8,NA
1988,NA,NA,"f",0,NA
1988,NA,NA,"f",NA,NA
1988,NA,NA,"f",25,NA
1988,NA,NA,"f",NA,NA
1988,NA,NA,"f",NA,NA
1988,NA,NA,"f",20,NA
1989,NA,NA,"f",22,NA
1989,NA,NA,"m",2,NA
1989,NA,NA,"f",2,NA
1989,NA,NA,"m",3,NA
1989,NA,NA,"f",25,NA
1989,NA,NA,"f",26,NA
1990,4,21,"f",15,142
1990,4,21,"f",17,125
1990,4,22,"m",10,143
1990,4,28,"f",3,120
1990,4,28,"f",15,134
1990,4,28,"f",11,130
1990,4,28,"f",9,140
1991,4,NA,"m",4,127
1991,4,NA,"f",14,143
1991,4,NA,"m",28,131
1991,4,NA,"m",29,143
1991,4,NA,"m",20,151
1991,4,NA,"f",22,143
1991,4,NA,"m",15,133
1991,4,NA,"f",22,129
1991,4,NA,"f",22,146
1991,4,NA,"m",5,136
1992,4,22,"f",3,113
1992,4,22,"m",3,131
1992,4,22,"m",3,127
1992,4,22,"m",21,158
1992,4,22,"m",15,136
1992,4,22,"f",15,126
1992,4,22,"f",23,141
1992,4,22,"m",26,154
1992,4,22,"f",3,124
1992,4,24,"f",3,129
1993,5,NA,"m",9,134
1993,5,NA,"f",10,121
1993,5,NA,"m",17,140
1993,5,NA,"m",14,138
1993,5,NA,"m",17,151
1993,5,NA,"m",13,129
1993,5,NA,"f",3,121
1993,5,NA,"f",23,139
1993,5,NA,"m",6,134
1994,5,NA,"f",4,118
1994,5,NA,"m",8,124
1994,5,NA,"m",6,132
1994,5,NA,"m",5,123
1995,4,NA,"m",5,130
1995,4,NA,"f",32,138
1995,4,NA,"m",4,118
1995,4,NA,"f",12,137
1995,4,NA,"m",11,156
1995,4,NA,"f",8,127
1995,4,NA,"f",3,111
1995,4,NA,"f",3,111
1995,4,NA,"m",10,147
1995,4,NA,"m",5,124
1996,4,NA,"f",12,139
1996,4,NA,"f",6,129
1996,4,NA,"m",18,146
1996,4,NA,"f",11,130
1996,4,NA,"f",14,126
1996,4,NA,"f",6,127
1996,4,NA,"f",20,136
1996,4,NA,"f",14,141
1996,4,NA,"f",18,134
1996,11,NA,"f",29,134
1997,5,NA,"m",21,147
1997,5,NA,"f",7,130
1997,5,NA,"f",7,128
1997,5,NA,"f",6,129
1997,5,NA,"f",8,123
1997,5,NA,"f",6,127
1997,5,NA,"f",7,126
1997,5,NA,"m",7,130
1997,5,NA,"m",16,139
1997,5,NA,"m",15,131
1998,4,NA,"f",4,126
1998,4,NA,"f",25,135
1998,4,NA,"f",13,128
1998,4,NA,"f",20,137
1998,4,NA,"m",4,133
1998,4,NA,"m",7,131
1998,4,NA,"m",14,148
1998,4,NA,"m",1,116
1998,4,NA,"f",12,126
1998,5,NA,"m",12,142
1999,4,NA,"f",19,140
1999,4,NA,"f",13,134
1999,5,NA,"f",11,125
1999,5,NA,"m",10,135
1999,5,NA,"f",22,157
1999,5,NA,"f",6,126
1999,5,NA,"m",13,128
2000,4,NA,"m",19,143
2000,4,NA,"f",6,130
2000,4,NA,"f",2,118
2000,4,NA,"m",14,134
2000,4,NA,"m",27,149
2000,4,NA,"f",15,124
2000,4,NA,"f",9,138
2000,4,NA,"m",6,132
2000,4,NA,"m",7,140
2000,7,NA,"f",0,NA
2001,5,NA,"m",20,NA
2001,7,NA,"m",1,NA
2002,4,NA,"f",9,149
2002,4,NA,"f",20,144
2002,4,NA,"f",17,137
2002,4,NA,"f",16,142
2002,4,NA,"m",9,135
2002,4,NA,"m",6,128
2002,4,NA,"f",17,140
2002,4,NA,"f",4,122
2004,4,25,"f",10,134
2004,4,25,"f",6,125
2004,4,NA,"m",NA,145
2004,4,NA,"m",NA,133
2004,4,NA,"m",NA,131
2004,4,26,"f",6,124
2004,4,27,"f",20,137
2004,4,27,"f",6,122
2004,4,28,"f",9,128
2004,5,1,"f",35,NA
2004,5,NA,"m",6,NA
2004,10,2,"f",5,NA
2005,5,NA,"f",NA,NA
2006,4,20,"m",2,111
2006,4,20,"f",7,122
2006,4,21,"m",4,127
2006,4,21,"f",6,128
2006,4,21,"m",2,110
2006,4,22,"m",8,134
2006,4,22,"m",6,138
2006,4,22,"f",15,133
2006,4,22,"f",10,135
2006,4,23,"m",9,136
2006,4,23,"m",4,123
2006,4,23,"f",13,141
2006,4,24,"m",11,132
2006,4,24,"m",9,143
2006,5,NA,NA,0,NA
2007,4,21,"m",4,126
2007,4,21,"m",6,140
2007,4,22,"f",8,132
2007,4,22,"m",2,123
2007,4,22,"m",10,137
2007,4,23,"f",16,135
2007,4,23,"m",7,142
2007,4,24,"m",15,142
2007,4,24,"m",20,135
2007,4,24,"m",3,114
2007,9,28,"f",NA,126
2008,3,28,"m",NA,NA
2008,4,24,"m",0,NA
2008,4,30,"m",0,NA
2008,4,30,"m",NA,NA
2008,4,16,"m",NA,NA
2008,4,19,"m",0,NA
2008,4,22,"m",0,NA
2008,4,22,"m",NA,NA
2008,5,30,"f",1,104
2008,5,30,"m",13,135
2008,5,30,"f",1,109
2008,6,9,"f",14,128
2008,6,1,"f",1,117
2008,6,1,"m",1,103
2008,6,3,"f",18,130
2008,6,5,"m",25,142
2008,6,7,"m",2,110
2008,6,9,"m",15,129
2008,6,11,"m",0,73
2008,6,14,"m",0,94
2009,4,22,"f",0,80
2009,4,28,"m",8,138
2009,4,29,"m",11,125
2009,4,29,"m",9,136
2009,4,29,"m",6,135
2009,4,30,"m",12,134
2009,4,30,"m",13,143
2009,4,30,"m",5,136
2009,5,20,"f",12,131
2009,5,20,"f",6,126
2009,5,22,"f",1,114
2009,5,22,"f",27,132
2009,5,24,"f",14,130
2009,5,24,"f",5,120
2009,5,14,"m",8,133
2009,5,15,"m",12,122
2009,5,1,"m",9,140
2009,5,1,"f",8,133
2009,5,1,"m",6,139
2009,6,6,"f",6,118
2009,7,10,NA,0,NA
2009,7,31,"m",0,95
2009,10,18,"f",8,121
2009,10,20,"f",20,133
2009,10,27,"f",8,157
2009,10,2,"m",3,114
2009,10,9,"m",12,142
2009,10,9,"m",6,132
2009,10,12,"m",14,138
2009,10,24,"m",15,159
2009,10,29,"m",9,147
2009,10,31,"m",7,146
2009,10,27,"f",13,128
2009,11,NA,"m",4,NA
2009,11,5,"m",5,140
2009,11,5,"m",16,144
2009,11,7,"m",2,124
2009,11,5,"f",6,127
2010,9,NA,"m",11,144
2010,10,NA,"m",0,108
2010,10,NA,"m",10,137
2010,10,NA,"m",11,150
2012,10,7,"f",1,NA
2012,10,8,"m",10,NA
2012,10,8,"f",1,NA
2012,10,8,"f",14,NA
2013,10,22,"m",24,NA
2013,11,2,"f",0,115
2013,11,2,"f",1,NA
2013,11,3,"m",8,NA
2013,11,3,"m",NA,NA
2014,4,27,"f",0,100
2014,4,10,"f",0,NA
2014,4,15,"m",0,70
2014,5,16,"m",0,97
2014,5,22,"m",0,75
2014,5,8,"m",0,73
2014,5,4,"f",NA,82
2014,5,6,"f",0,NA
2014,6,20,"m",0,90
2014,6,7,"m",0,95
2014,6,2,"f",0,75
2014,6,18,"f",0,70
2014,6,15,"m",0,100
2014,7,10,"f",0,70
2014,7,11,"m",28,110
2014,9,9,"m",0,98
2014,9,19,"f",0,85
2014,10,31,"m",2,115
2014,10,31,"m",1,107
2014,10,10,NA,3,NA
2014,10,12,"m",13,NA
2014,11,8,"f",1,NA
2015,5,20,"m",2,NA
2015,5,20,"m",1,NA
2015,7,22,"f",3,NA
2015,9,15,"f",0,120
2015,9,22,"f",NA,137
2015,9,11,"m",4,140
2015,9,11,"m",0,84
2015,9,3,"m",0,94
2015,10,11,"m",15,NA
2015,10,13,"f",16,NA
2015,10,13,"m",4,NA
2015,10,10,"f",1,NA
2016,4,20,"f",10,120
2016,4,28,"m",0,70
2016,4,20,"m",30,120
2016,4,20,"m",1,70
2016,4,26,"m",0,97
2016,4,30,"m",0,70
2016,4,30,"f",8,NA
2016,4,30,"f",7,138
2016,4,16,"f",1,80
2016,4,22,"m",1,110
2016,4,16,"m",3,105
2016,4,23,"f",18,105
2016,4,22,"m",9,122
2016,4,30,"f",2,NA
2016,4,30,"m",17,NA
2016,4,23,"f",7,NA
2016,5,3,"m",20,135
2016,5,7,"m",19,130
2016,5,9,"m",2,115
2016,5,1,"f",11,NA
2016,5,9,"f",2,105
2016,5,9,"f",1,105
2016,5,9,"m",4,125
2016,5,4,"m",2,130
2016,5,3,"f",2,120
2016,5,3,NA,2,125
2016,5,4,"f",12,122
2016,5,4,"m",9,132
2016,5,7,"f",1,98
2016,5,2,"m",0,53
2016,5,4,"m",1,115
2016,5,29,"f",0,38
2016,5,6,"m",18,NA
2016,5,3,"m",8,114
2016,5,6,"f",40,NA
2016,5,5,"f",0,65
2016,5,4,"m",22,122
2016,5,5,"m",22,130
2016,5,4,"m",11,128
2016,5,4,"f",0,70
2016,5,5,"f",21,131
2016,5,1,"m",2,NA
2016,5,1,"m",11,NA
2016,5,2,"f",27,NA
2016,5,2,"f",1,NA
2016,9,17,"f",0,85
2017,4,23,"m",0,50
2017,4,16,"f",2,120
2017,4,28,"m",12,135
2017,4,28,"f",1,110
2017,4,NA,"m",5,135
2017,4,NA,"f",3,130
2017,4,28,"m",6,130
2017,4,16,"m",7,138
2017,4,22,"m",0,55
2017,4,22,"m",15,120
2017,4,22,"f",7,110
2017,4,16,"f",11,135
2017,4,22,"f",9,140
2017,4,22,"m",NA,135
2017,4,22,"f",7,110
2017,4,23,"m",20,140
2017,4,20,"f",12,110
2017,4,28,"f",10,140
2017,4,21,"f",NA,NA
2017,4,27,"m",30,158
2017,4,27,"m",24,163
2017,4,28,"f",12,145
2017,4,28,"f",3,132
2017,4,28,"f",17,148
2017,4,28,"f",0,82
2017,4,23,"f",0,98
2017,4,16,"f",NA,105
2017,4,16,"f",15,125
2017,4,16,"m",7,130
2017,4,17,"f",2,115
2017,4,18,"f",2,112
2017,4,23,"f",26,135
2017,4,16,"f",3,107
2017,4,29,"m",28,160
2017,4,28,"f",0,160
2017,4,28,"f",0,65
2017,4,28,"f",0,60
2017,4,29,"f",21,60
2017,4,18,"f",30,123
2017,4,18,"f",1,80
2017,4,16,"f",3,110
2017,4,29,"f",2,133
2017,4,24,"f",0,60
2017,4,24,"m",0,63
2017,4,28,"m",14,128
2017,4,28,"m",4,136
2017,4,28,"m",22,149
2017,4,29,"f",2,90
2017,4,29,"m",1,120
2017,4,28,"f",2,107
2017,4,28,"m",0,74
2017,4,28,"m",7,108
2017,4,29,"m",5,110
2017,4,29,"f",2,90
2017,4,23,"m",16,138
2017,4,28,"m",17,118
2017,4,NA,"m",2,120
2017,4,17,"f",2,91
2017,4,18,"m",13,146
2017,4,19,"m",3,131
2017,4,16,"f",3,135
2017,4,16,"m",11,140
2017,4,17,"f",3,116
2017,4,18,"m",15,112
2017,4,28,"m",3,145
2017,4,17,"m",2,150
2017,4,19,"f",0,100
2017,5,13,"m",0,70
2017,5,13,"f",2,90
2017,5,13,"f",0,45
2017,5,13,"f",1,100
2017,5,13,"f",0,80
2017,5,3,"m",19,148
2017,5,4,"m",11,152
2017,5,4,"m",5,167
2017,5,6,"m",11,142
2017,5,5,"m",19,135
2017,5,12,"m",0,82
2017,5,12,"f",0,97
2017,5,12,"m",0,78
2017,5,10,"f",0,84
2017,5,10,"f",0,80
2017,5,10,"f",4,121
2017,5,10,"f",0,92
2017,5,7,"m",0,93
2017,5,13,"f",0,71
2017,5,7,"m",4,132
2017,5,7,"m",1,100
2017,5,12,"m",0,98
2017,5,12,"f",0,92
2017,5,12,"m",0,80
2017,5,12,"m",22,160
2017,5,6,"f",1,100
2017,5,7,"m",16,165
2017,5,7,"m",2,100
2017,5,7,"m",0,60
2017,5,1,"f",10,137
2017,5,7,"m",16,151
2017,5,8,"f",3,138
2017,5,7,"f",0,60
2017,5,7,"m",0,70
2017,5,3,"f",0,87
2017,5,5,"f",15,130
2017,5,1,"m",0,94
2017,5,1,"m",1,83
2017,5,7,"m",0,71
2017,5,7,"m",18,113
2017,5,16,"m",9,130
2017,5,3,"m",0,74
2017,5,18,"m",0,80
2017,5,18,"m",0,70
2017,5,18,"f",0,70
2017,5,7,"m",2,100
2017,5,16,"f",15,130
2017,5,16,"f",2,105
2017,5,16,"m",9,107
2017,5,3,"m",14,138
2017,5,2,"f",0,100
2017,5,21,"m",1,105
2017,5,1,"m",1,106
2017,5,13,"m",0,92
2017,5,13,"m",20,159
2017,5,16,"m",0,NA
2017,5,27,"f",6,120
2017,5,27,"f",2,86
2017,5,27,"m",4,136
2017,5,23,"f",9,110
2017,5,23,"m",5,115
2017,5,22,"f",23,120
2017,5,20,"f",2,75
2017,5,15,"f",0,65
2017,5,18,"m",3,120
2017,5,23,"f",0,88
2017,5,10,"f",10,NA
2017,5,1,"m",24,150
2017,5,11,"f",6,139
2017,5,16,"m",0,83
2017,5,16,"m",0,93
2017,5,12,"f",8,121
2017,5,12,"f",12,110
2017,5,11,"m",2,95
2017,5,13,"m",0,NA
2017,5,26,"m",3,128
2017,5,26,"m",1,96
2017,5,12,"m",7,145
2017,5,11,"m",4,114
2017,5,12,"m",3,NA
2017,5,13,"m",14,123
2017,5,21,"f",13,140
2017,5,14,"m",17,135
2017,5,13,"f",5,130
2017,5,12,"f",0,75
2017,5,12,"m",0,95
2017,5,12,"m",0,105
2017,5,12,"f",0,105
2017,5,13,"f",5,135
2017,5,13,"f",10,140
2017,5,12,"m",0,102
2017,5,12,"f",2,79
2017,5,20,"m",7,115
2017,5,20,"f",0,85
2017,5,16,"m",2,107
2017,5,16,"f",13,128
2017,5,4,"f",4,110
2017,5,4,"f",8,105
2017,NA,NA,"m",13,NA
2017,NA,NA,"f",1,110
2018,1,9,"f",3,101
2018,4,16,"m",0,80
2018,4,17,"f",9,130
2018,4,17,"f",15,125
2018,4,20,"f",5,115
2018,4,20,"f",3,110
2018,4,18,"f",0,88
2018,4,22,"f",0,84
2018,4,19,"f",0,86
2018,4,16,"m",5,130
2018,4,19,"m",5,115
2018,4,19,"f",17,113
2018,4,16,"m",8,120
2018,4,17,"f",19,145
2018,4,30,"m",NA,136
2018,4,28,"f",11,127
2018,4,27,"m",0,90
2018,4,18,"f",8,140
2018,4,22,"m",19,120
2018,4,22,"m",4,85
2018,4,24,"m",0,100
2018,4,23,"f",11,135
2018,4,20,"f",8,130
2018,4,29,"f",16,135
2018,4,30,"f",1,90
2018,4,29,"m",6,130
2018,4,20,"f",10,109
2018,4,20,"m",2,110
2018,4,20,"m",3,110
2018,4,20,"m",8,109
2018,4,16,"f",11,130
2018,4,30,"m",10,149
2018,4,16,"m",NA,133
2018,4,30,"f",2,125
2018,4,17,"f",4,126
2018,4,18,"f",9,146
2018,4,17,"m",24,150
2018,4,30,"f",11,148
2018,4,17,"f",15,136
2018,4,17,"m",8,146
2018,4,30,"f",7,135
2018,4,21,"f",4,NA
2018,5,5,"f",16,140
2018,5,5,"m",3,130
2018,5,5,"f",12,115
2018,5,12,"m",4,127
2018,5,10,"f",12,90
2018,5,10,"f",6,95
2018,5,11,"m",0,70
2018,5,11,"m",22,140
2018,5,11,"m",2,100
2018,5,11,"m",8,120
2018,5,2,"f",0,90
2018,5,6,"m",6,140
2018,5,5,"m",7,75
2018,5,2,"m",4,125
2018,5,2,"f",0,130
2018,5,1,"m",29,135
2018,5,5,"m",5,NA
2018,5,5,"m",13,120
2018,5,5,"m",5,80
2018,5,5,"f",12,145
2018,5,12,"m",8,137
2018,5,12,"m",2,118
2018,5,11,"f",1,120
2018,5,12,"m",4,133
2018,5,11,"m",30,160
2018,5,11,"m",3,112
2018,5,11,"f",12,137
2018,5,5,"f",4,125
2018,5,5,"m",20,152
2018,5,1,"m",0,65
2018,5,5,"m",2,115
2018,5,5,"m",8,155
2018,5,13,"f",0,100
2018,5,12,"f",2,88
2018,5,8,"f",0,95
2018,5,11,"f",1,100
2018,5,11,"m",2,121
2018,5,12,"m",15,153
2018,5,12,"f",2,106
2018,5,13,"f",0,80
2018,5,13,"f",11,135
2018,5,15,"f",4,100
2018,5,16,"f",0,75
2018,5,16,"m",2,114
2018,5,16,"m",5,139
2018,5,13,"m",0,97
2018,5,10,"m",0,70
2018,5,10,"m",0,64
2018,5,10,"m",5,124
2018,5,17,"f",8,125
2018,5,17,"f",12,130
2018,5,17,"m",9,130
2018,5,17,"m",0,90
2018,5,12,"m",2,115
2018,5,11,"f",9,155
2018,5,13,"m",7,120
2018,5,12,"m",2,126
2018,5,8,"f",2,140
2018,5,12,"f",0,115
2018,5,8,"f",1,120
2018,5,15,"m",2,120
2018,5,13,"m",3,118
2018,5,12,"m",16,156
2018,5,11,"f",0,80
2018,5,11,"f",0,75
2018,5,14,"m",5,152
2018,5,18,"m",3,70
2018,5,13,"f",0,115
2018,5,12,"m",2,130
2018,5,8,"f",7,140
2018,5,8,"f",16,150
2018,5,11,"f",7,130
2018,5,9,"f",3,112
2018,5,12,"m",27,146
2018,5,1,"m",9,155
2018,5,15,"f",4,145
2018,5,13,"f",12,140
2018,5,1,"f",7,128
2018,5,8,"m",11,145
2018,5,13,"m",2,120
2018,5,14,"f",2,NA
2018,5,15,"m",7,NA
2018,5,17,"m",2,NA
2018,5,17,"f",7,NA
2018,5,17,NA,3,NA
2018,5,20,NA,4,NA
2018,5,20,"f",11,NA
2018,5,15,"f",0,80
2018,5,16,"m",0,80
2018,5,15,"m",1,105
2018,5,16,"m",3,115
2018,5,16,"m",22,135
2018,5,1,"f",3,133
2018,NA,NA,"m",13,145
2018,NA,NA,"m",0,85
