"year","month","day","sex","age","body_length"
2019,4,19,"m",16,128
2019,4,19,"f",3,103
2019,4,19,"m",4,115
2019,4,16,"f",11,138
2019,4,16,"f",9,136
2019,4,16,"f",2,83
2019,4,16,"f",1,86
2019,4,16,"f",1,82
2019,4,16,"m",1,88
2019,4,16,"m",1,79
2019,4,16,"m",1,89
2019,4,16,"m",0,55
2019,4,16,"f",6,112
2019,4,16,"m",17,98
2019,4,16,"f",4,103
2019,4,17,"f",6,113
2019,4,19,"m",5,130
2019,4,19,"m",5,145
2019,4,19,"f",6,125
2019,4,16,"f",2,110
2019,4,16,"m",8,120
2019,4,16,"m",21,130
2019,4,16,"m",20,140
2019,4,17,"m",0,105
2019,4,17,"m",0,100
2019,4,16,"m",10,149
2019,4,16,"f",0,84
2019,4,19,"f",18,130
2019,4,19,"f",6,150
2019,4,16,"f",22,130
2019,4,17,"m",6,125
2019,4,16,"f",2,170
2019,4,17,"m",8,145
2019,4,27,"m",0,65
2019,4,18,"f",2,101
2019,4,27,"m",0,79
2019,4,27,"f",7,125
2019,4,27,"m",0,71
2019,4,30,"m",0,65
2019,4,29,"f",2,120
2019,4,30,"m",16,130
2019,4,28,"f",0,65
2019,4,29,"m",23,133
2019,4,30,"f",7,125
2019,4,28,"f",NA,60
2019,4,30,"m",0,90
2019,4,30,"f",0,80
2019,4,30,"m",10,145
2019,4,29,"f",NA,75
2019,4,21,"m",0,67
2019,4,28,"m",0,79
2019,4,29,"m",9,160
2019,4,27,"f",16,143
2019,4,30,"m",0,72
2019,4,28,"f",1,110
2019,4,28,"f",0,67
2019,4,28,"m",1,110
2019,4,30,"m",1,97
2019,4,30,"m",1,91
2019,4,26,"m",0,74
2019,4,28,"f",0,61
2019,4,28,"m",0,97
2019,4,19,"f",0,70
2019,4,30,"m",0,89
2019,4,30,"m",1,90
2019,4,30,"f",9,159
2019,4,30,"m",0,85
2019,4,30,"m",1,117
2019,4,30,"f",0,97
2019,4,16,"f",1,130
2019,4,30,"m",3,120
2019,4,30,"f",7,142
2019,4,25,"f",0,101
2019,4,28,"m",8,131
2019,4,28,"m",11,126
2019,4,28,"f",1,65
2019,4,5,"f",6,126
2019,4,29,"m",10,124
2019,4,28,"f",12,106
2019,4,28,"f",13,115
2019,4,28,"f",5,100
2019,4,28,"m",2,90
2019,4,28,"f",0,63
2019,4,28,"m",0,72
2019,4,20,"m",16,123
2019,4,29,"f",0,106
2019,4,5,"m",0,80
2019,4,5,"f",0,77
2019,4,28,"m",0,100
2019,4,29,"f",7,100
2019,4,21,"m",11,150
2019,4,28,"m",0,105
2019,4,21,"f",18,145
2019,4,25,"f",1,100
2019,4,30,"m",0,80
2019,4,27,"f",1,90
2019,4,25,"f",1,100
2019,4,27,"m",3,120
2019,4,29,"m",7,125
2019,4,30,"f",NA,70
2019,4,30,"m",1,90
2019,4,30,"f",0,70
2019,4,27,"m",2,99
2019,4,27,"f",15,102
2019,4,19,"f",15,150
2019,4,19,"m",2,120
2019,4,25,"f",8,148
2019,4,16,"f",2,105
2019,4,17,"m",6,118
2019,4,16,"m",12,130
2019,4,16,"m",0,95
2019,4,16,"f",15,150
2019,4,17,"f",16,130
2019,4,16,"m",17,140
2019,4,16,"f",8,105
2019,4,16,"f",16,141
2019,4,17,"f",10,140
2019,4,16,"f",17,150
2019,4,18,"m",0,70
2019,4,18,"f",0,98
2019,4,18,"f",7,112
2019,4,17,"m",6,125
2019,4,16,"m",18,140
2019,4,18,"f",17,140
2019,4,17,"m",16,134
2019,4,16,"f",15,148
2019,4,16,"m",8,130
2019,4,16,"f",2,105
2019,4,17,"m",12,140
2019,4,17,"f",10,110
2019,4,16,"f",10,130
2019,4,16,"f",9,125
2019,4,16,"f",14,140
2019,4,16,"f",3,145
2019,4,16,"m",15,145
2019,4,16,"m",10,160
2019,4,16,"f",12,127
2019,4,16,"m",14,107
2019,4,16,"f",0,80
2019,4,17,"m",7,125
2019,4,16,"f",3,148
2019,4,16,"f",7,130
2019,5,6,"f",0,60
2019,5,5,"f",7,100
2019,5,5,"m",16,130
2019,5,4,"m",19,130
2019,5,4,"m",11,130
2019,5,1,"f",15,135
2019,5,4,"f",7,148
2019,5,10,"m",2,98
2019,5,10,"m",0,62
2019,5,10,"m",1,95
2019,5,4,"f",0,95
2019,5,4,"m",0,75
2019,5,4,"f",0,90
2019,5,4,"f",1,110
2019,5,4,"f",6,150
2019,5,4,"m",3,120
2019,5,4,"f",5,150
2019,5,4,"f",0,80
2019,5,5,"f",1,100
2019,5,30,"f",0,60
2019,5,6,"f",0,65
2019,5,6,"f",0,75
2019,5,6,"f",0,75
2019,5,6,"m",0,72
2019,5,6,"m",0,NA
2019,5,21,"m",17,150
2019,5,15,"f",1,100
2019,5,25,"f",6,130
2019,5,11,"f",7,98
2019,5,11,"f",0,97
2019,5,11,"m",12,120
2019,5,11,"m",1,94
2019,5,11,"m",1,87
2019,5,11,"m",2,95
2020,4,30,"m",24,133
2020,4,18,"m",16,138
2020,4,19,"f",7,132
2020,4,18,"f",3,172
2020,4,19,"f",10,129
2020,4,19,"m",7,127
2020,4,21,"f",14,160
2020,4,19,"f",11,134
2020,4,23,"m",0,97
2020,4,22,"m",6,142
2020,4,22,"m",0,82
2020,4,22,"m",7,130
2020,4,22,"f",8,154
2020,4,22,"m",7,130
2020,4,22,"m",NA,133
2020,4,23,"f",5,122
2020,4,23,"m",1,120
2020,4,23,"f",0,84
2020,4,16,"m",11,155
2020,4,21,"f",0,75
2020,4,21,"m",0,80
2020,4,21,"f",19,140
2020,4,19,"f",0,78
2020,4,22,"m",0,72
2020,4,26,"m",0,70
2020,4,26,"f",17,114
2020,4,16,"f",0,80
2020,4,26,"m",0,74
2020,4,19,"f",2,107
2020,4,22,"m",0,100
2020,4,22,"m",0,87
2020,4,22,"f",8,134
2020,4,22,"m",16,148
2020,4,22,"f",NA,150
2020,4,22,"m",0,106
2020,4,22,"f",0,90
2020,4,22,"f",2,118
2020,4,22,"f",10,140
2020,4,21,"m",3,115
2020,4,21,"m",0,75
2020,4,22,"f",11,130
2020,4,22,"f",NA,140
2020,4,22,"f",NA,135
2020,4,16,"f",NA,150
2020,4,16,"m",13,155
2020,4,21,"m",0,86
2020,4,22,"f",13,135
2020,4,22,"f",10,133
2020,4,22,"f",18,125
2020,4,22,"m",0,60
2020,4,22,"f",0,52
2020,4,23,"f",0,60
2020,4,23,"f",0,64
2020,4,22,"m",0,54
2020,4,25,"m",20,142
2020,4,25,"m",17,135
2020,4,25,"m",16,143
2020,4,24,"m",19,142
2020,4,25,"m",6,131
2020,4,24,"f",8,126
2020,4,24,"f",23,127
2020,4,26,"f",7,135
2020,4,26,"m",0,80
2020,4,26,"f",7,140
2020,4,29,"m",0,75
2020,4,29,"m",15,135
2020,4,29,"f",14,140
2020,4,23,"f",3,125
2020,4,23,"f",0,80
2020,4,23,"f",10,135
2020,4,23,"f",0,85
2020,4,23,"f",0,80
2020,4,23,"f",8,130
2020,4,24,"f",8,120
2020,4,24,"m",0,75
2020,4,21,"m",10,130
2020,4,24,"m",14,138
2020,4,16,"f",9,150
2020,4,23,"f",6,140
2020,4,17,"m",10,158
2020,4,24,"m",0,58
2020,4,24,"m",0,60
2020,4,23,"f",11,148
2020,4,16,"f",7,145
2020,4,16,"m",22,158
2020,4,16,"m",13,135
2020,4,16,"m",10,117
2020,4,19,"f",2,115
2020,4,19,"f",10,151
2020,4,16,"f",2,125
2020,4,18,"f",13,138
2020,4,16,"f",3,123
2020,4,20,"m",0,82
2020,4,20,"m",22,142
2020,4,19,"f",9,125
2020,4,19,"f",11,115
2020,4,18,"f",19,130
2020,4,18,"m",0,81
2020,4,20,"m",20,143
2020,4,18,"m",7,116
2020,4,19,"f",15,126
2020,4,18,"f",12,137
2020,4,25,"f",0,70
2020,4,25,"f",18,140
2020,4,25,"f",0,70
2020,4,23,"m",16,150
2020,4,24,"f",0,85
2020,4,24,"f",0,80
2020,4,22,"m",0,80
2020,4,22,"m",18,140
2020,4,21,"m",13,154
2020,4,22,"m",18,140
2020,4,22,"f",19,118
2020,4,22,"m",0,80
2020,4,21,"f",20,141
2020,4,21,"f",11,138
2020,4,21,"m",15,128
2020,4,21,"f",13,129
2020,4,18,"f",0,85
2020,4,18,"f",15,136
2020,4,18,"f",11,135
2020,4,16,"f",0,74
2020,4,16,"f",16,142
2020,4,16,"m",0,78
2020,4,16,"f",19,130
2020,4,16,"m",24,150
2020,4,19,"m",0,NA
2020,4,19,"f",NA,NA
2020,4,19,"f",5,NA
2020,4,19,"m",20,NA
2020,4,16,"f",NA,123
2020,4,16,"f",NA,132
2020,4,19,"f",0,70
2020,4,19,"f",0,70
2020,4,19,"m",9,140
2020,4,19,"f",12,100
2020,4,19,"m",8,150
2020,4,19,"f",0,80
2020,4,19,"f",NA,110
2020,4,19,"f",0,70
2020,4,19,"f",0,70
2020,4,19,"f",0,80
2020,4,19,"m",11,70
2020,4,22,"f",8,142
2020,4,19,"f",0,75
2020,4,19,"f",2,70
2020,4,19,"f",0,80
2020,4,19,"f",16,120
2020,4,19,"f",15,90
2020,4,16,"f",0,59
2020,4,21,"f",13,100
2020,4,21,"m",0,75
2020,4,21,"m",0,72
2020,4,21,"f",7,107
2020,4,22,"f",7,109
2020,4,NA,"f",12,172
2020,4,30,"m",13,163
2020,4,30,"m",16,158
2020,4,19,"f",12,120
2020,4,28,"m",9,150
2020,4,16,"m",20,150
2020,4,29,"f",0,60
2020,4,29,"m",0,80
2020,4,29,"f",9,140
2020,4,27,"f",8,150
2020,4,16,"m",14,120
2020,4,16,"m",14,115
2020,4,16,"f",10,120
2020,4,16,"m",15,130
2020,4,23,"m",0,87
2020,4,23,"f",0,93
2020,4,23,"f",12,135
2020,4,19,"m",15,133
2020,4,18,"f",0,85
2020,4,18,"f",0,68
2020,4,19,"m",16,129
2020,4,20,"m",18,147
2020,4,21,"f",0,70
2020,4,21,"f",26,130
2020,4,21,"m",10,115
2020,4,22,"m",0,80
2020,4,22,"f",0,70
2020,4,22,"m",0,50
2020,4,22,"m",23,135
2020,4,22,"f",9,130
2020,4,22,"f",9,125
2020,4,NA,"f",14,NA
2020,4,16,"m",21,NA
2020,4,16,"m",15,NA
2020,4,16,"m",8,NA
2020,4,18,"f",10,126
2020,4,20,"m",8,133
2020,4,20,"m",18,127
2020,4,20,"m",11,130
2020,4,19,"m",12,130
2020,4,22,"m",0,85
2020,4,24,"f",3,136
2020,4,24,"m",1,121
2020,4,22,"m",8,153
2020,4,24,"m",14,146
2020,4,24,"f",1,114
2020,4,24,"m",15,148
2020,4,16,"m",2,120
2020,4,NA,"f",1,90
2020,4,21,"f",10,140
2020,4,21,"m",19,155
2020,4,21,"f",8,138
2020,4,22,"m",9,129
2020,4,21,"f",9,126
2020,4,19,"m",0,64
2020,4,19,"f",0,75
2020,4,19,"m",0,88
2020,4,19,"f",7,149
2020,4,19,"f",0,69
2020,4,19,"f",13,117
2020,4,16,"f",0,70
2020,4,16,"m",0,75
2020,4,16,"f",0,110
2020,4,16,"f",17,120
2020,4,16,"f",12,110
2020,4,16,"m",10,120
2020,4,22,"m",0,70
2020,4,23,"f",11,144
2020,4,23,"m",0,81
2020,4,22,"f",15,130
2020,4,16,"f",8,129
2020,5,23,"f",3,101
2020,5,23,"f",3,91
2020,5,31,"f",1,122
2020,5,17,"m",1,NA
2020,5,17,"f",9,NA
2020,5,17,"m",1,NA
2020,5,16,"f",1,NA
2020,5,24,"f",26,150
2020,5,17,"f",1,92
2020,5,13,"m",NA,130
2020,5,23,"f",10,NA
2020,5,26,"f",4,NA
2020,6,9,"m",1,120
2020,12,29,"f",2,121
2021,4,19,"m",11,135
2021,4,17,"f",2,130
2021,4,16,"m",3,130
2021,4,28,"m",0,65
2021,4,16,"f",1,103
2021,4,16,"f",0,64
2021,4,28,"m",7,127
2021,4,30,"m",10,122
2021,4,29,"m",0,80
2021,4,28,"f",1,90
2021,4,16,"f",2,105
2021,4,28,"m",0,80
2021,4,16,"f",2,120
2021,4,28,"f",18,125
2021,4,28,"m",0,75
2021,4,27,"f",2,100
2021,4,27,"m",0,58
2021,4,28,"f",0,55
2021,4,27,"m",0,108
2021,4,27,"f",19,145
2021,4,28,"f",0,80
2021,4,28,"m",0,70
2021,4,28,"m",1,105
2021,4,28,"f",0,98
2021,4,17,"f",0,85
2021,4,17,"f",0,82
2021,4,16,"m",16,140
2021,4,18,"m",0,70
2021,4,17,"m",0,38
2021,4,18,"f",0,63
2021,4,27,"f",0,100
2021,4,27,"m",12,155
2021,4,19,"f",13,140
2021,4,19,"f",3,130
2021,4,19,"f",18,160
2021,4,27,"m",22,150
2021,4,29,"f",2,110
2021,4,27,"f",9,105
2021,4,27,"m",24,150
2021,4,27,"f",2,103
2021,4,16,"m",5,130
2021,4,17,"f",3,112
2021,4,19,"m",10,135
2021,4,17,"m",9,125
2021,4,16,"m",16,133
2021,4,16,"m",6,136
2021,4,19,"f",10,148
2021,4,20,"m",3,112
2021,4,17,"m",19,150
2021,4,16,"m",3,120
2021,4,17,"f",6,130
2021,4,17,"f",25,155
2021,4,17,"m",12,150
2021,4,29,"m",18,125
2021,4,20,"f",16,135
2021,4,28,"m",0,60
2021,4,30,"f",0,70
2021,4,16,"f",10,125
2021,4,30,"m",16,150
2021,4,30,"m",4,130
2021,4,17,"f",11,135
2021,4,16,"f",18,130
2021,4,30,"m",24,140
2021,4,30,"m",16,150
2021,4,18,"f",1,NA
2021,5,13,"m",6,140
2021,5,13,"m",0,87
2021,5,13,"f",2,110
2021,5,13,"f",0,85
2021,5,13,"f",9,105
2021,5,13,"m",0,90
2021,5,13,"f",8,120
2021,5,8,"m",1,130
2021,5,8,NA,NA,80
2021,5,8,"m",NA,97
2021,5,12,"f",2,92
2021,5,8,"m",0,61
2021,5,8,"m",24,128
2021,5,4,"f",3,98
2021,5,4,"m",2,100
2021,5,4,"m",21,132
2021,5,4,"f",1,99
2021,5,8,"m",18,140
2021,5,8,"m",1,81
2021,5,8,"f",9,100
2021,5,8,"f",2,118
2021,5,8,"f",NA,125
2021,5,17,"m",11,126
2021,5,18,"f",2,120
2021,5,19,"m",0,90
2021,5,17,"f",14,120
2021,5,18,"f",18,125
2021,5,2,"m",19,140
2021,5,8,"m",2,170
2021,5,1,"f",9,142
2021,5,17,"f",2,134
2021,5,2,"m",8,135
2021,5,1,"m",12,143
2021,5,2,"m",9,132
2021,5,2,"f",9,131
2021,5,22,"f",0,106
2021,5,22,"f",1,95
2021,5,8,"f",8,130
2021,5,8,"m",2,120
2021,5,8,"f",1,100
2021,5,8,"m",2,120
2021,5,7,"m",0,60
2021,5,18,"m",5,110
2021,5,2,"f",2,136
2021,5,2,"f",0,90
2021,5,2,"m",6,140
2021,5,2,"f",5,120
2021,5,31,"m",0,85
2021,5,21,"f",0,92
2021,5,13,"f",9,120
2021,5,9,"f",0,80
2021,5,12,"f",12,120
2021,5,12,"m",1,135
2021,5,3,"m",20,151
2021,5,12,"m",26,135
2021,5,7,"m",0,58
2021,5,8,"m",9,145
2021,5,4,"m",0,80
2021,5,13,"m",17,145
2021,5,12,"f",11,125
2021,5,12,"m",22,152
2021,5,12,"f",7,125
2021,5,13,"m",12,145
2021,5,8,"m",0,70
2021,5,9,"m",2,120
2021,5,11,"f",1,90
2021,5,11,"m",3,90
2021,5,12,"f",8,107
2021,5,8,"m",22,125
2021,5,12,"m",2,80
2021,5,13,"f",3,95
2021,5,12,"f",14,100
2021,5,8,"f",0,101
2021,5,8,"f",0,70
2021,5,8,"m",0,70
2021,5,8,"f",0,80
2021,5,8,"f",4,119
2021,5,8,"f",15,150
2021,5,8,"m",3,117
2021,5,5,"m",2,102
2021,5,5,"m",12,122
2021,5,8,"m",0,70
2021,5,8,"f",10,160
2021,5,8,"m",24,138
2021,5,8,"f",20,156
2021,5,8,"m",13,136
2021,5,8,"f",15,140
2021,5,8,"f",12,162
2021,5,8,"f",14,150
2021,5,8,"f",23,150
2021,5,1,"m",20,121
2021,5,1,"m",18,150
2021,5,9,"m",9,NA
2021,5,13,"m",2,102
2021,5,13,"m",8,145
2021,5,14,"m",17,154
2022,4,24,"f",2,135
2022,4,25,"f",1,105
2022,4,25,"f",2,120
2022,4,25,"m",20,155
2022,4,19,"f",9,130
2022,4,23,"m",0,70
2022,4,27,"f",NA,140
2022,4,21,"f",1,100
2022,4,23,"m",26,130
2022,4,27,"f",1,90
2022,4,23,"f",15,155
2022,4,23,"f",14,155
2022,4,16,"f",5,120
2022,4,17,"f",8,155
2022,4,16,"f",10,140
2022,4,23,"m",16,165
2022,4,16,"f",12,148
2022,4,16,"f",16,165
2022,4,17,"m",NA,135
2022,4,18,"m",NA,100
2022,4,17,"m",NA,90
2022,4,17,"m",NA,100
2022,4,18,"m",NA,100
2022,4,18,"m",NA,110
2022,4,17,"m",NA,100
2022,4,17,"m",NA,100
2022,4,18,"f",0,100
2022,4,18,"f",26,110
2022,4,18,"f",12,95
2022,4,17,"m",NA,100
2022,4,17,"m",NA,110
2022,4,18,"m",NA,123
2022,5,23,"m",NA,150
2022,5,25,"f",0,98
2022,5,26,"m",0,90
2022,5,25,"f",0,90
2022,5,15,"f",7,120
2022,5,15,"f",11,130
2022,5,17,"f",10,125
2022,5,17,"m",0,95
2022,5,17,"f",6,130
2022,5,17,"f",7,130
2022,5,17,"f",8,120
2022,5,16,"m",10,135
2022,5,16,"f",0,80
2022,5,16,"m",8,137
2022,5,16,"f",8,130
2022,5,10,"f",7,125
2022,5,13,"m",0,78
2022,5,13,"f",0,110
2022,5,4,"f",0,86
2022,5,13,"m",18,142
2022,5,4,"f",9,130
2022,5,14,"f",0,84
2022,5,4,"m",2,113
2022,5,20,"m",2,108
2022,5,19,"f",0,60
2022,5,13,"m",NA,140
2022,5,13,"m",1,110
2022,5,12,"m",NA,120
2022,5,13,"f",5,120
2022,5,13,"m",NA,148
2022,5,12,"f",2,110
2022,5,12,"f",2,110
2022,5,12,"f",14,130
2022,5,13,"f",11,120
2022,5,25,"f",5,90
2022,5,25,"m",NA,108
2022,5,18,"f",2,104
2022,5,25,"f",9,90
2022,5,24,"f",8,100
2022,5,25,"m",1,100
2022,5,30,"m",0,60
2022,5,24,"f",2,100
2022,5,25,"f",10,100
2022,5,24,"f",2,100
2022,5,24,"f",1,70
2022,5,8,"f",2,106
2022,5,14,"f",1,91
2022,5,25,"m",NA,150
2022,5,8,"m",NA,110
2022,5,25,"m",NA,90
2022,5,21,"f",0,84
2022,5,21,"m",NA,161
2022,5,21,"m",NA,90
2022,5,19,"m",0,70
2022,5,20,"f",11,130
2022,5,19,"m",NA,150
2022,5,20,"f",8,120
2022,5,23,"f",8,100
2022,5,19,"m",16,120
2022,5,19,"f",6,110
2022,5,19,"f",11,140
2022,5,20,"f",10,120
2022,5,20,"f",11,134
2022,5,19,"m",1,110
2022,5,19,"m",NA,147
2022,5,20,"f",1,105
2022,5,19,"f",12,145
2022,5,20,"f",5,105
2022,5,20,"f",3,132
2022,5,19,"f",8,155
2022,5,20,"m",1,93
2022,5,20,"f",9,149
2022,5,20,"m",NA,120
2022,5,20,"f",7,123
2022,5,20,"m",NA,132
2022,5,20,"m",NA,145
2022,5,21,"f",13,150
2022,5,21,"f",7,140
2022,5,19,"f",0,75
2022,5,21,"f",10,128
2022,5,21,"m",3,125
2022,5,21,"f",11,130
2022,5,20,"f",16,130
2022,5,25,"m",1,85
2022,5,21,"f",2,139
2022,5,21,"f",1,110
2022,5,21,"f",14,131
2022,5,21,"f",NA,NA
2022,5,21,"m",NA,NA
2022,5,21,"m",NA,NA
2022,5,20,"m",NA,NA
2022,5,20,"m",NA,NA
2022,5,20,"m",NA,NA
2022,5,20,"m",NA,NA
2022,5,24,"m",NA,110
2022,5,21,"m",NA,105
2022,5,21,"f",8,100
2022,5,21,"f",4,100
2022,5,21,"m",NA,100
2022,6,1,"m",0,70
2022,6,3,"m",0,70
2022,6,3,"m",0,70
2022,6,30,"m",0,NA
2023,5,11,"f",NA,101
2023,5,11,"m",NA,55
2023,4,16,"m",NA,NA
2023,5,15,"m",NA,65
2023,5,15,"f",NA,90
2023,5,15,"m",NA,100
2023,5,8,"f",NA,130
2023,5,8,"m",NA,70
2023,5,8,"f",NA,70
2023,5,5,"m",NA,140
2023,5,7,"f",NA,120
2023,5,17,"f",NA,100
2023,5,15,"m",NA,130
2023,5,5,"m",NA,80
2023,5,5,"m",NA,120
2023,5,5,"m",NA,70
2023,5,5,"m",NA,120
2023,4,17,"f",NA,100
2023,4,21,"m",NA,120
2023,4,17,"f",NA,100
2023,4,17,"m",NA,125
2023,4,19,"f",NA,120
2023,4,19,"m",NA,130
2023,4,19,"f",NA,120
