year,month,day,age,sex,source,body_length,CA,placental_scar
2017,4,18,30,2,1,123,0,0
2017,4,18,1,2,1,80,,
2017,4,16,3,2,1,110,0,0
2017,4,29,2,2,1,133,,
2017,4,24,0,2,1,60,,
2017,4,24,0,1,1,63,,
2017,4,28,14,1,1,128,,
2017,4,28,4,1,1,136,,
2017,4,28,22,1,1,149,,
2017,4,29,2,2,1,90,0,
2017,4,29,1,1,1,120,,
2017,4,28,2,2,1,107,0,
2017,4,28,0,1,1,74,,
2017,4,28,7,1,1,108,,
2017,4,29,5,1,1,110,,
2017,4,29,2,2,1,90,0,
2017,4,23,16,1,1,138,,
2017,4,28,17,1,1,118,,
2017,4,,2,1,1,120,,
2017,4,17,2,2,1,91,0,
2017,4,18,13,1,1,146,,
2017,4,19,3,1,1,131,,
2017,4,16,3,2,1,135,0,0
2017,4,16,11,1,1,140,,
2017,4,17,3,2,1,116,0,
2017,4,18,15,1,1,112,,
2017,4,28,3,1,1,145,,
2017,4,17,2,1,1,150,,
2017,4,19,0,2,1,100,0,
2017,5,13,0,1,1,70,,
2017,5,13,2,2,1,90,0,0
2017,5,13,0,2,1,45,,
2017,5,13,1,2,1,100,,
2017,5,13,0,2,1,80,,
2017,5,3,19,1,1,148,,
2017,5,4,11,1,1,152,,
2017,5,4,5,1,1,167,,
2017,5,6,11,1,1,142,,
2017,5,5,19,1,1,135,,
2017,5,12,0,1,1,82,,
2017,5,12,0,2,1,97,0,
2017,5,12,0,1,1,78,,
2017,5,10,0,2,1,84,0,
2017,5,10,0,2,1,80,0,
2017,5,10,4,2,1,121,0,
2017,5,10,0,2,1,92,0,
2017,5,7,0,1,1,93,,
2017,5,12,0,2,4,91,0,
2017,5,13,0,2,1,71,0,
2017,5,7,4,1,1,132,,
2017,5,7,1,1,1,100,,
2017,5,12,0,1,1,98,,
2017,5,12,0,2,1,92,0,
2017,5,12,0,1,1,80,,
2017,5,12,22,1,1,160,,
2017,5,6,1,2,1,100,,
2017,5,7,16,1,1,165,,
2017,5,7,2,1,1,100,,
2017,5,7,0,1,1,60,,
2017,5,1,10,2,1,137,1,1
2017,5,7,16,1,1,151,,
2017,5,8,3,2,1,138,0,0
2017,5,7,0,2,1,60,,
2017,5,7,0,1,1,70,,
2017,5,3,0,2,1,87,0,
2017,5,5,15,2,1,130,1,1
2017,5,1,0,1,1,94,,
2017,5,1,1,1,1,83,,
2017,5,7,0,1,1,71,,
2017,5,7,18,1,1,113,,
2017,5,16,9,1,1,130,,
2017,5,3,0,1,1,74,,
2017,5,18,0,1,1,80,,
2017,5,18,0,1,1,70,,
2017,5,18,0,2,1,70,0,
2017,5,7,2,1,1,100,,
2017,5,16,15,2,1,130,1,1
2017,5,16,2,2,1,105,0,
2017,5,16,9,1,1,107,,
2017,5,3,14,1,1,138,,
2017,5,2,0,2,2,100,0,
2017,5,21,1,1,1,105,,
2017,5,16,23,1,,140,,
2017,5,1,1,1,1,106,,
2017,5,13,0,1,1,92,,
2017,5,13,20,1,1,159,,
2017,5,16,0,1,1,,,
2017,5,27,6,2,1,120,0,1
2017,5,27,2,2,1,86,0,
2017,5,27,4,1,1,136,,
2017,5,23,9,2,1,110,1,1
2017,5,23,5,1,1,115,,
2017,5,22,23,2,1,120,1,0
2017,5,20,2,2,1,75,0,
2017,5,15,0,2,1,65,0,
2017,5,18,3,1,1,120,,
2017,5,23,0,2,1,88,0,
2017,5,10,10,2,1,,1,0
2017,5,1,24,1,1,150,,
2017,5,11,6,2,1,139,1,1
2017,5,16,0,1,1,83,,
2017,5,16,0,1,1,93,,
2017,5,12,8,2,1,121,0,0
2017,5,12,12,2,1,110,1,
2017,5,11,2,1,1,95,,
2017,5,13,0,1,1,,,
2017,5,26,3,1,1,128,,
2017,5,26,1,1,1,96,,
2017,5,12,7,1,1,145,,
2017,5,11,4,1,1,114,,
2017,5,12,3,1,1,,,
2017,5,13,14,1,1,123,,
2017,5,21,13,2,1,140,0,0
2017,5,14,17,1,1,135,,
2017,5,13,5,2,1,130,1,0
2017,5,12,0,2,1,75,,
2017,5,12,0,1,1,95,,
2017,5,12,0,1,1,105,,
2017,5,12,0,2,1,105,0,
2017,5,13,5,2,1,135,1,1
2017,5,13,10,2,1,140,1,1
2017,5,12,0,1,1,102,,
2017,5,12,2,2,1,79,0,
2017,5,20,7,1,1,115,,
2017,5,20,0,2,1,85,0,
2017,5,16,2,1,1,107,,
2017,5,16,13,2,1,128,0,
2017,5,31,0,2,4,98,,
2017,5,4,4,2,1,110,,
2017,5,4,8,2,1,105,1,
2017,6,3,0,2,4,70,0,
2017,6,17,0,1,4,105,,
2017,7,12,0,1,4,90,,
2017,,,13,1,1,,,
2017,,,1,2,1,110,0,
2018,1,9,3,2,5,101,,
2018,4,16,0,1,1,80,,
2018,4,17,9,2,1,130,1,1
2018,4,17,15,2,1,125,1,1
2018,4,20,5,2,1,115,0,
2018,4,20,3,2,1,110,,
2018,4,18,0,2,1,88,,
2018,4,22,0,2,1,84,,
2018,4,19,0,2,1,86,,
2018,4,16,5,1,1,130,,
2018,4,19,5,1,1,115,,
2018,4,19,17,2,1,113,1,1
2018,4,16,8,1,1,120,,
2018,4,17,19,2,1,145,0,0
2018,4,30,,1,1,136,,
2018,4,28,11,2,1,127,1,1
2018,4,27,0,1,1,90,,
2018,4,18,8,2,1,140,0,0
2018,4,22,19,1,1,120,,
2018,4,22,4,1,1,85,,
2018,4,24,0,1,1,100,,
2018,4,23,11,2,1,135,1,1
2018,4,20,8,2,1,130,1,1
2018,4,29,16,2,1,135,1,1
2018,4,30,1,2,1,90,,
2018,4,29,6,1,1,130,,
2018,4,20,10,2,1,109,1,1
2018,4,20,2,1,1,110,,
2018,4,20,3,1,1,110,,
2018,4,20,8,1,1,109,,
2018,4,16,11,2,1,130,1,1
2018,4,30,10,1,1,149,,
2018,4,16,,1,1,133,,
2018,4,30,2,2,1,125,0,
2018,4,17,4,2,1,126,0,
2018,4,18,9,2,1,146,1,1
2018,4,17,24,1,1,150,,
2018,4,30,11,2,1,148,1,1
2018,4,17,15,2,1,136,1,0
2018,4,17,8,1,1,146,,
2018,4,30,7,2,1,135,1,1
2018,4,21,4,2,1,,,
2018,5,5,16,2,1,140,1,1
2018,5,5,3,1,1,130,,
2018,5,5,12,2,1,115,1,1
2018,5,12,4,1,1,127,,
2018,5,10,12,2,1,90,1,1
2018,5,10,6,2,1,95,1,1
2018,5,11,0,1,1,70,,
2018,5,11,22,1,1,140,,
2018,5,11,2,1,1,100,,
2018,5,11,8,1,1,120,,
2018,5,2,0,2,1,90,,
2018,5,6,6,1,1,140,,
2018,5,5,7,1,1,75,,
2018,5,2,4,1,1,125,,
2018,5,2,0,2,1,130,,
2018,5,1,29,1,1,135,,
2018,5,5,5,1,1,,,
2018,5,5,13,1,1,120,,
2018,5,5,5,1,1,80,,
2018,5,5,12,2,1,145,1,0
2018,5,12,8,1,1,137,,
2018,5,12,2,1,1,118,,
2018,5,11,1,2,1,120,0,0
2018,5,12,4,1,1,133,,
2018,5,11,30,1,1,160,,
2018,5,11,3,1,1,112,,
2018,5,11,12,2,1,137,0,0
2018,5,5,4,2,1,125,,
2018,5,5,20,1,1,152,,
2018,5,1,0,1,2,65,,
2018,5,5,2,1,1,115,,
2018,5,5,8,1,1,155,,
2018,5,13,0,2,1,100,,
2018,5,12,2,2,1,88,0,0
2018,5,8,0,2,1,95,,
2018,5,11,1,2,1,100,,
2018,5,11,2,1,1,121,,
2018,5,12,15,1,1,153,,
2018,5,12,2,2,1,106,0,0
2018,5,13,0,2,1,80,,
2018,5,13,11,2,1,135,1,1
2018,5,15,4,2,1,100,0,0
2018,5,16,0,2,1,75,,
2018,5,16,2,1,1,114,,
2018,5,16,5,1,1,139,,
2018,5,13,0,1,1,97,,
2018,5,10,0,1,1,70,,
2018,5,10,0,1,1,64,,
2018,5,10,5,1,1,124,,
2018,5,17,8,2,1,125,1,0
2018,5,17,12,2,1,130,0,0
2018,5,17,9,1,1,130,,
2018,5,17,0,1,1,90,,
2018,5,12,2,1,1,115,,
2018,5,11,9,2,1,155,1,1
2018,5,13,7,1,1,120,,
2018,5,12,2,1,1,126,,
2018,5,8,2,2,1,140,0,0
2018,5,12,0,2,1,115,,
2018,5,8,1,2,1,120,0,0
2018,5,15,2,1,1,120,,
2018,5,13,3,1,1,118,,
2018,5,12,16,1,1,156,,
2018,5,11,0,2,1,80,,
2018,5,11,0,2,1,75,,
2018,5,14,5,1,1,152,,
2018,5,22,0,2,4,80,,
2018,5,18,3,1,1,70,,
2018,5,13,0,2,1,115,,
2018,5,12,2,1,1,130,,
2018,5,8,7,2,1,140,1,1
2018,5,8,16,2,1,150,1,1
2018,5,11,7,2,1,130,1,1
2018,5,9,3,2,1,112,0,0
2018,5,12,27,1,1,146,,
2018,5,1,9,1,1,155,,
2018,5,15,4,2,1,145,1,1
2018,5,13,12,2,1,140,1,1
2018,5,1,7,2,1,128,1,1
2018,5,8,11,1,1,145,,
2018,5,13,2,1,1,120,,
2018,5,14,2,2,1,,0,0
2018,5,15,7,1,1,,,
2018,5,17,2,1,1,,,
2018,5,17,7,2,1,,1,1
2018,5,17,3,,1,,,
2018,5,20,4,,1,,,
2018,5,20,11,2,1,,1,1
2018,5,15,0,2,1,80,,
2018,5,16,0,1,1,80,,
2018,5,15,1,1,1,105,,
2018,5,16,3,1,1,115,,
2018,5,16,22,1,1,135,,
2018,5,1,3,2,1,133,,1
2018,,,13,1,1,145,,
2018,,,0,1,1,85,,
2019,4,19,16,1,1,128,,
2019,4,19,3,2,1,103,0,0
2019,4,19,4,1,1,115,,
2019,4,16,11,2,1,138,1,1
2019,4,16,9,2,1,136,1,1
2019,4,16,2,2,1,83,,
2019,4,16,1,2,1,86,0,
2019,4,16,1,2,1,82,0,0
2019,4,16,1,1,1,88,,
2019,4,16,1,1,1,79,,
2019,4,16,1,1,1,89,,
2019,4,16,0,1,1,55,,
2019,4,16,6,2,1,112,1,1
2019,4,16,17,1,1,98,,
2019,4,16,4,2,1,103,0,0
2019,4,17,6,2,1,113,1,1
2019,4,19,5,1,1,130,,
2019,4,19,5,1,1,145,,
2019,4,19,6,2,1,125,1,1
2019,4,16,2,2,1,110,0,0
2019,4,16,8,1,1,120,,
2019,4,16,21,1,1,130,,
2019,4,16,20,1,1,140,,
2019,4,17,0,1,1,105,,
2019,4,17,0,1,1,100,,
2019,4,16,10,1,1,149,,
2019,4,16,0,2,1,84,0,0
2019,4,19,18,2,1,130,1,1
2019,4,19,6,2,1,150,1,1
2019,4,16,22,2,1,130,1,1
2019,4,17,6,1,1,125,,
2019,4,16,2,2,1,170,,
2019,4,17,8,1,1,145,,
2019,4,27,0,1,1,65,,
2019,4,18,2,2,1,101,0,
2019,4,27,0,1,1,79,,
2019,4,27,7,2,1,125,1,1
2019,4,27,0,1,1,71,,
2019,4,30,0,1,1,65,,
2019,4,29,2,2,1,120,0,
2019,4,30,16,1,1,130,,
2019,4,28,0,2,1,65,0,
2019,4,29,23,1,1,133,,
2019,4,30,7,2,1,125,1,1
2019,4,28,,2,1,60,0,
2019,4,30,0,1,1,90,,
2019,4,30,0,2,1,80,0,
2019,4,30,10,1,1,145,,
2019,4,29,,2,1,75,,
2019,4,21,0,1,2,67,,
2019,4,28,0,1,1,79,,
2019,4,29,9,1,1,160,,
2019,4,27,16,2,1,143,,
2019,4,30,0,1,1,72,,
2019,4,28,1,2,1,110,0,
2019,4,28,0,2,1,67,0,
2019,4,28,1,1,1,110,,
2019,4,30,1,1,1,97,,
2019,4,30,1,1,1,91,,
2019,4,26,0,1,1,74,,
2019,4,28,0,2,1,61,0,
2019,4,28,0,1,1,97,,
2019,4,19,0,2,2,70,0,
2019,4,30,0,1,1,89,,
2019,4,30,1,1,1,90,,
2019,4,30,9,2,1,159,1,
2019,4,30,0,1,1,85,,
2019,4,30,1,1,1,117,,
2019,4,30,0,2,1,97,0,
2019,4,16,1,2,1,130,0,
2019,4,30,3,1,1,120,,
2019,4,30,7,2,1,142,1,1
2019,4,25,0,2,1,101,0,
2019,4,28,8,1,1,131,,
2019,4,28,11,1,1,126,,
2019,4,28,1,2,1,65,0,
2019,4,5,6,2,1,126,0,
2019,4,29,10,1,1,124,,
2019,4,28,12,2,1,106,1,0
2019,4,28,13,2,1,115,1,1
2019,4,28,5,2,1,100,,0
2019,4,28,2,1,1,90,,
2019,4,28,0,2,1,63,0,
2019,4,28,0,1,1,72,,
2019,4,20,16,1,1,123,,
2019,4,29,0,2,1,106,0,
2019,4,5,0,1,1,80,,
2019,4,5,0,2,1,77,,
2019,4,28,0,1,1,100,,
2019,4,29,7,2,1,100,1,1
2019,4,21,11,1,1,150,,
2019,4,28,0,1,1,105,,
2019,4,21,18,2,1,145,1,1
2019,4,25,1,2,1,100,0,
2019,4,30,0,1,1,80,,
2019,4,27,1,2,1,90,0,
2019,4,25,1,2,1,100,0,
2019,4,27,3,1,1,120,,
2019,4,29,7,1,1,125,,
2019,4,30,,2,1,70,,
2019,4,30,1,1,1,90,,
2019,4,30,0,2,1,70,0,
2019,4,27,2,1,1,99,,
2019,4,27,15,2,1,102,,
2019,4,19,15,2,1,150,1,1
2019,4,19,2,1,1,120,,
2019,4,25,8,2,1,148,0,0
2019,4,16,2,2,1,105,,
2019,4,17,6,1,1,118,,
2019,4,16,12,1,1,130,,
2019,4,16,0,1,1,95,,
2019,4,16,15,2,1,150,0,0
2019,4,17,16,2,1,130,1,1
2019,4,16,17,1,1,140,,
2019,4,16,8,2,1,105,,
2019,4,16,16,2,1,141,0,0
2019,4,17,10,2,1,140,,
2019,4,16,17,2,1,150,1,1
2019,4,18,0,1,1,70,,
2019,4,18,0,2,1,98,0,
2019,4,18,7,2,1,112,1,1
2019,4,17,6,1,1,125,,
2019,4,16,18,1,1,140,,
2019,4,18,17,2,1,140,1,1
2019,4,17,16,1,1,134,,
2019,4,16,15,2,1,148,0,0
2019,4,16,8,1,1,130,,
2019,4,16,2,2,1,105,,
2019,4,17,12,1,1,140,,
2019,4,17,10,2,1,110,,
2019,4,16,10,2,1,130,1,1
2019,4,16,9,2,1,125,1,1
2019,4,16,14,2,1,140,1,0
2019,4,16,3,2,1,145,0,0
2019,4,16,15,1,1,145,,
2019,4,16,10,1,1,160,,
2019,4,16,12,2,1,127,1,1
2019,4,16,14,1,1,107,,
2019,4,16,0,2,1,80,,
2019,4,17,7,1,1,125,,
2019,4,16,3,2,1,148,0,
2019,4,16,7,2,1,130,1,1
2019,5,6,0,2,1,60,0,
2019,5,5,7,2,1,100,1,1
2019,5,5,16,1,1,130,,
2019,5,4,19,1,1,130,,
2019,5,4,11,1,1,130,,
2019,5,1,15,2,1,135,1,1
2019,5,4,7,2,1,148,1,1
2019,5,10,2,1,1,98,,
2019,5,10,0,1,1,62,,
2019,5,10,1,1,1,95,,
2019,5,4,0,2,1,95,0,
2019,5,4,0,1,1,75,,
2019,5,4,0,2,1,90,0,
2019,5,4,1,2,1,110,0,
2019,5,4,6,2,1,150,1,1
2019,5,4,3,1,1,120,,
2019,5,4,5,2,1,150,1,1
2019,5,4,0,2,1,80,0,
2019,5,5,1,2,1,100,0,
2019,5,30,0,2,1,60,0,
2019,5,6,0,2,1,65,0,
2019,5,6,0,2,1,75,,
2019,5,6,0,2,1,75,0,
2019,5,6,0,1,1,72,,
2019,5,6,0,1,1,,,
2019,5,21,17,1,1,150,,
2019,5,15,1,2,1,100,,
2019,5,25,6,2,2,130,1,1
2019,5,11,7,2,1,98,0,1
2019,5,11,0,2,1,97,0,0
2019,5,11,12,1,1,120,,
2019,5,11,1,1,1,94,,
2019,5,11,1,1,1,87,,
2019,5,11,2,1,1,95,,
2020,4,30,24,1,1,133,,
2020,4,18,16,1,1,138,,
2020,4,19,7,2,1,132,1,1
2020,4,18,3,2,1,172,0,
2020,4,19,10,2,1,129,1,1
2020,4,19,7,1,1,127,,
2020,4,21,14,2,1,160,1,1
2020,4,19,11,2,1,134,0,0
2020,4,23,0,1,1,97,,
2020,4,22,6,1,1,142,,
2020,4,22,0,1,1,82,,
2020,4,22,7,1,1,130,,
2020,4,22,8,2,1,154,0,0
2020,4,22,7,1,1,130,,
2020,4,22,,1,1,133,,
2020,4,23,5,2,1,122,0,0
2020,4,23,1,1,1,120,,
2020,4,23,0,2,1,84,,
2020,4,16,11,1,1,155,,
2020,4,21,0,2,1,75,,
2020,4,21,0,1,1,80,,
2020,4,21,19,2,1,140,1,0
2020,4,19,0,2,1,78,,
2020,4,22,0,1,1,72,,
2020,4,26,0,1,1,70,,
2020,4,26,17,2,1,114,1,1
2020,4,16,0,2,1,80,,
2020,4,26,0,1,1,74,,
2020,4,19,2,2,1,107,,
2020,4,22,0,1,1,100,,
2020,4,22,0,1,1,87,,
2020,4,22,8,2,1,134,1,1
2020,4,22,16,1,1,148,,
2020,4,22,,2,1,150,1,1
2020,4,22,0,1,1,106,,
2020,4,22,0,2,1,90,,
2020,4,22,2,2,1,118,,
2020,4,22,10,2,1,140,1,1
2020,4,21,3,1,1,115,,
2020,4,21,0,1,1,75,,
2020,4,22,11,2,1,130,1,1
2020,4,22,,2,1,140,1,1
2020,4,22,,2,1,135,1,1
2020,4,16,,2,1,150,1,0
2020,4,16,13,1,1,155,,
2020,4,21,0,1,1,86,,
2020,4,22,13,2,1,135,0,0
2020,4,22,10,2,1,133,1,1
2020,4,22,18,2,1,125,1,1
2020,4,22,0,1,1,60,,
2020,4,22,0,2,1,52,,
2020,4,23,0,2,1,60,,
2020,4,23,0,2,1,64,,
2020,4,22,0,1,1,54,,
2020,4,25,20,1,1,142,,
2020,4,25,17,1,1,135,,
2020,4,25,16,1,1,143,,
2020,4,24,19,1,1,142,,
2020,4,25,6,1,1,131,,
