"year","month","day","source","sex","age","body_length","CA","placental_scar"
2020,4,22,1,"f",NA,135,1,1
2020,4,16,1,"f",NA,150,1,0
2020,4,16,1,"m",13,155,NA,NA
2020,4,21,1,"m",0,86,NA,NA
2020,4,22,1,"f",13,135,0,0
2020,4,22,1,"f",10,133,1,1
2020,4,22,1,"f",18,125,1,1
2020,4,22,1,"m",0,60,NA,NA
2020,4,22,1,"f",0,52,NA,NA
2020,4,23,1,"f",0,60,NA,NA
2020,4,23,1,"f",0,64,NA,NA
2020,4,22,1,"m",0,54,NA,NA
2020,4,25,1,"m",20,142,NA,NA
2020,4,25,1,"m",17,135,NA,NA
2020,4,25,1,"m",16,143,NA,NA
2020,4,24,1,"m",19,142,NA,NA
2020,4,25,1,"m",6,131,NA,NA
2020,4,24,1,"f",8,126,0,0
2020,4,24,1,"f",23,127,1,1
2020,4,26,1,"f",7,135,1,1
2020,4,26,1,"m",0,80,NA,NA
2020,4,26,1,"f",7,140,1,1
2020,4,29,1,"m",0,75,NA,NA
2020,4,29,1,"m",15,135,NA,NA
2020,4,29,1,"f",14,140,0,0
2020,4,23,1,"f",3,125,0,0
2020,4,23,1,"f",0,80,NA,NA
2020,4,23,1,"f",10,135,0,0
2020,4,23,1,"f",0,85,NA,NA
2020,4,23,1,"f",0,80,NA,NA
2020,4,23,1,"f",8,130,1,1
2020,4,24,1,"f",8,120,1,1
2020,4,24,1,"m",0,75,NA,NA
2020,4,21,1,"m",10,130,NA,NA
2020,4,24,1,"m",14,138,NA,NA
2020,4,16,1,"f",9,150,0,NA
2020,4,23,1,"f",6,140,1,1
2020,4,17,1,"m",10,158,NA,NA
2020,4,24,1,"m",0,58,NA,NA
2020,4,24,1,"m",0,60,NA,NA
2020,4,23,1,"f",11,148,1,1
2020,4,16,1,"f",7,145,1,0
2020,4,16,1,"m",22,158,NA,NA
2020,4,16,1,"m",13,135,NA,NA
2020,4,16,1,"m",10,117,NA,NA
2020,4,19,1,"f",2,115,NA,NA
2020,4,19,1,"f",10,151,0,0
2020,4,16,1,"f",2,125,0,0
2020,4,18,1,"f",13,138,1,0
2020,4,16,1,"f",3,123,1,1
2020,4,20,1,"m",0,82,NA,NA
2020,4,20,1,"m",22,142,NA,NA
2020,4,19,1,"f",9,125,1,1
2020,4,19,1,"f",11,115,1,1
2020,4,18,1,"f",19,130,1,1
2020,4,18,1,"m",0,81,NA,NA
2020,4,20,1,"m",20,143,NA,NA
2020,4,18,1,"m",7,116,NA,NA
2020,4,19,1,"f",15,126,1,1
2020,4,18,1,"f",12,137,1,1
2020,4,25,1,"f",0,70,NA,NA
2020,4,25,1,"f",18,140,1,1
2020,4,25,1,"f",0,70,NA,NA
2020,4,23,1,"m",16,150,NA,NA
2020,4,24,1,"f",0,85,NA,NA
2020,4,24,1,"f",0,80,NA,NA
2020,4,22,1,"m",0,80,NA,NA
2020,4,22,1,"m",18,140,NA,NA
2020,4,21,1,"m",13,154,NA,NA
2020,4,22,1,"m",18,140,NA,NA
2020,4,22,1,"f",19,118,1,1
2020,4,22,1,"m",0,80,NA,NA
2020,4,21,1,"f",20,141,1,1
2020,4,21,1,"f",11,138,1,1
2020,4,21,1,"m",15,128,NA,NA
2020,4,21,1,"f",13,129,1,1
2020,4,18,1,"f",0,85,NA,NA
2020,4,18,1,"f",15,136,1,1
2020,4,18,1,"f",11,135,1,1
2020,4,16,1,"f",0,74,NA,NA
2020,4,16,1,"f",16,142,1,1
2020,4,16,1,"m",0,78,NA,NA
2020,4,16,1,"f",19,130,0,1
2020,4,16,1,"m",24,150,NA,NA
2020,4,19,1,"m",0,NA,NA,NA
2020,4,19,1,"f",NA,NA,NA,NA
2020,4,19,1,"f",5,NA,NA,NA
2020,4,19,1,"m",20,NA,NA,NA
2020,4,16,1,"f",NA,123,NA,NA
2020,4,16,1,"f",NA,132,NA,NA
2020,4,19,1,"f",0,70,NA,NA
2020,4,19,1,"f",0,70,NA,NA
2020,4,19,1,"m",9,140,NA,NA
2020,4,19,1,"f",12,100,1,1
2020,4,19,1,"m",8,150,NA,NA
2020,4,19,1,"f",0,80,NA,NA
2020,4,19,1,"f",NA,110,1,NA
2020,4,19,1,"f",0,70,NA,NA
2020,4,19,1,"f",0,70,NA,NA
2020,4,19,1,"f",0,80,NA,NA
2020,4,19,1,"m",11,70,NA,NA
2020,4,22,1,"f",8,142,1,1
2020,4,19,1,"f",0,75,NA,NA
2020,4,19,1,"f",2,70,NA,NA
2020,4,19,1,"f",0,80,NA,NA
2020,4,19,1,"f",16,120,NA,NA
2020,4,19,1,"f",15,90,0,NA
2020,4,16,1,"f",0,59,NA,NA
2020,4,21,1,"f",13,100,0,NA
2020,4,21,1,"m",0,75,NA,NA
2020,4,21,1,"m",0,72,NA,NA
2020,4,21,1,"f",7,107,1,1
2020,4,22,1,"f",7,109,1,1
2020,4,NA,1,"f",12,172,1,1
2020,4,30,1,"m",13,163,NA,NA
2020,4,30,1,"m",16,158,NA,NA
2020,4,19,1,"f",12,120,0,NA
2020,4,28,1,"m",9,150,NA,NA
2020,4,16,1,"m",20,150,NA,NA
2020,4,29,1,"f",0,60,NA,NA
2020,4,29,1,"m",0,80,NA,NA
2020,4,29,1,"f",9,140,1,1
2020,4,27,1,"f",8,150,1,1
2020,4,16,1,"m",14,120,NA,NA
2020,4,16,1,"m",14,115,NA,NA
2020,4,16,1,"f",10,120,0,NA
2020,4,16,1,"m",15,130,NA,NA
2020,4,23,1,"m",0,87,NA,NA
2020,4,23,1,"f",0,93,NA,NA
2020,4,23,1,"f",12,135,1,1
2020,4,19,1,"m",15,133,NA,NA
2020,4,18,1,"f",0,85,NA,NA
2020,4,18,1,"f",0,68,NA,NA
2020,4,19,1,"m",16,129,NA,NA
2020,4,20,1,"m",18,147,NA,NA
2020,4,21,1,"f",0,70,NA,NA
2020,4,21,1,"f",26,130,0,0
2020,4,21,1,"m",10,115,NA,NA
2020,4,22,1,"m",0,80,NA,NA
2020,4,22,1,"f",0,70,NA,NA
2020,4,22,1,"m",0,50,NA,NA
2020,4,22,1,"m",23,135,NA,NA
2020,4,22,1,"f",9,130,1,1
2020,4,22,1,"f",9,125,1,1
2020,4,NA,1,"f",14,NA,1,1
2020,4,16,1,"m",21,NA,NA,NA
2020,4,16,1,"m",15,NA,NA,NA
2020,4,16,1,"m",8,NA,NA,NA
2020,4,18,1,"f",10,126,1,0
2020,4,20,1,"m",8,133,NA,NA
2020,4,20,1,"m",18,127,NA,NA
2020,4,20,1,"m",11,130,NA,NA
2020,4,19,1,"m",12,130,NA,NA
2020,4,22,1,"m",0,85,NA,NA
2020,4,24,2,"f",3,136,0,0
2020,4,24,2,"m",1,121,NA,NA
2020,4,22,2,"m",8,153,NA,NA
2020,4,24,2,"m",14,146,NA,NA
2020,4,24,2,"f",1,114,NA,NA
2020,4,24,2,"m",15,148,NA,NA
2020,4,16,1,"m",2,120,NA,NA
2020,4,NA,1,"f",1,90,NA,NA
2020,4,21,1,"f",10,140,1,1
2020,4,21,1,"m",19,155,NA,NA
2020,4,21,1,"f",8,138,1,1
2020,4,22,1,"m",9,129,NA,NA
2020,4,21,1,"f",9,126,0,0
2020,4,19,1,"m",0,64,NA,NA
2020,4,19,1,"f",0,75,NA,NA
2020,4,19,1,"m",0,88,NA,NA
2020,4,19,1,"f",7,149,NA,NA
2020,4,19,1,"f",0,69,NA,NA
2020,4,19,1,"f",13,117,1,1
2020,4,16,1,"f",0,70,NA,NA
2020,4,16,1,"m",0,75,NA,NA
2020,4,16,1,"f",0,110,NA,NA
2020,4,16,1,"f",17,120,1,0
2020,4,16,1,"f",12,110,NA,NA
2020,4,16,1,"m",10,120,NA,NA
2020,4,22,1,"m",0,70,NA,NA
2020,4,23,1,"f",11,144,1,1
2020,4,23,1,"m",0,81,NA,NA
2020,4,22,1,"f",15,130,1,1
2020,4,16,1,"f",8,129,1,1
2020,5,23,1,"f",3,101,NA,NA
2020,5,23,1,"f",3,91,0,NA
2020,5,31,2,"f",1,122,NA,NA
2020,5,17,1,"m",1,NA,NA,NA
2020,5,17,1,"f",9,NA,1,0
2020,5,17,1,"m",1,NA,NA,NA
2020,5,16,1,"f",1,NA,NA,NA
2020,5,24,1,"f",26,150,1,1
2020,5,17,1,"f",1,92,NA,NA
2020,5,13,1,"m",NA,130,NA,NA
2020,5,23,1,"f",10,NA,0,NA
2020,5,26,1,"f",4,NA,1,1
2020,6,9,2,"m",1,120,NA,NA
2020,12,29,2,"f",2,121,NA,NA
2021,4,19,1,"m",11,135,NA,NA
2021,4,17,1,"f",2,130,0,0
2021,4,16,1,"m",3,130,NA,NA
2021,4,28,1,"m",0,65,NA,NA
2021,4,16,1,"f",1,103,NA,NA
2021,4,16,1,"f",0,64,NA,NA
2021,4,28,1,"m",7,127,NA,NA
2021,4,30,1,"m",10,122,NA,NA
2021,4,29,1,"m",0,80,NA,NA
2021,4,28,1,"f",1,90,NA,NA
2021,4,16,1,"f",2,105,NA,NA
2021,4,28,1,"m",0,80,NA,NA
2021,4,16,1,"f",2,120,0,NA
2021,4,28,1,"f",18,125,0,NA
2021,4,28,1,"m",0,75,NA,NA
2021,4,27,1,"f",2,100,NA,NA
2021,4,27,1,"m",0,58,NA,NA
2021,4,28,1,"f",0,55,NA,NA
2021,4,27,1,"m",0,108,NA,NA
2021,4,27,1,"f",19,145,1,0
2021,4,28,1,"f",0,80,0,NA
2021,4,28,1,"m",0,70,NA,NA
2021,4,28,1,"m",1,105,NA,NA
2021,4,28,1,"f",0,98,NA,NA
2021,4,17,1,"f",0,85,NA,NA
2021,4,17,1,"f",0,82,NA,NA
2021,4,16,1,"m",16,140,NA,NA
2021,4,18,1,"m",0,70,NA,NA
2021,4,17,1,"m",0,38,NA,NA
2021,4,18,1,"f",0,63,NA,NA
2021,4,27,1,"f",0,100,NA,NA
2021,4,27,1,"m",12,155,NA,NA
2021,4,19,1,"f",13,140,1,1
2021,4,19,1,"f",3,130,0,0
2021,4,19,1,"f",18,160,0,NA
2021,4,27,1,"m",22,150,NA,NA
2021,4,29,1,"f",2,110,NA,NA
2021,4,27,1,"f",9,105,1,1
2021,4,27,1,"m",24,150,NA,NA
2021,4,27,1,"f",2,103,NA,NA
2021,4,16,1,"m",5,130,NA,NA
2021,4,17,1,"f",3,112,NA,NA
2021,4,19,1,"m",10,135,NA,NA
2021,4,17,1,"m",9,125,NA,NA
2021,4,16,1,"m",16,133,NA,NA
2021,4,16,1,"m",6,136,NA,NA
2021,4,19,1,"f",10,148,0,NA
2021,4,20,1,"m",3,112,NA,NA
2021,4,17,1,"m",19,150,NA,NA
2021,4,16,1,"m",3,120,NA,NA
2021,4,17,1,"f",6,130,1,1
2021,4,17,1,"f",25,155,0,NA
2021,4,17,1,"m",12,150,NA,NA
2021,4,29,1,"m",18,125,NA,NA
2021,4,20,1,"f",16,135,1,1
2021,4,28,1,"m",0,60,NA,NA
2021,4,30,1,"f",0,70,NA,NA
2021,4,16,1,"f",10,125,1,0
2021,4,30,1,"m",16,150,NA,NA
2021,4,30,1,"m",4,130,NA,NA
2021,4,17,1,"f",11,135,1,1
2021,4,16,1,"f",18,130,0,NA
2021,4,30,1,"m",24,140,NA,NA
2021,4,30,1,"m",16,150,NA,NA
2021,4,18,1,"f",1,NA,NA,NA
2021,5,13,1,"m",6,140,NA,NA
2021,5,13,1,"m",0,87,NA,NA
2021,5,13,1,"f",2,110,NA,NA
2021,5,13,1,"f",0,85,NA,NA
2021,5,13,1,"f",9,105,1,1
2021,5,13,1,"m",0,90,NA,NA
2021,5,13,1,"f",8,120,1,1
2021,5,8,1,"m",1,130,NA,NA
2021,5,8,1,NA,NA,80,NA,NA
2021,5,8,1,"m",NA,97,NA,NA
2021,5,12,1,"f",2,92,NA,NA
2021,5,8,1,"m",0,61,NA,NA
2021,5,8,1,"m",24,128,NA,NA
2021,5,4,1,"f",3,98,0,NA
2021,5,4,1,"m",2,100,NA,NA
2021,5,4,1,"m",21,132,NA,NA
2021,5,4,1,"f",1,99,NA,NA
2021,5,8,1,"m",18,140,NA,NA
2021,5,8,1,"m",1,81,NA,NA
2021,5,8,1,"f",9,100,1,1
2021,5,8,1,"f",2,118,NA,NA
2021,5,8,1,"f",NA,125,NA,NA
2021,5,17,1,"m",11,126,NA,NA
2021,5,18,1,"f",2,120,NA,NA
2021,5,19,1,"m",0,90,NA,NA
2021,5,17,1,"f",14,120,NA,NA
2021,5,18,1,"f",18,125,1,1
2021,5,2,1,"m",19,140,NA,NA
2021,5,8,1,"m",2,170,NA,NA
2021,5,1,1,"f",9,142,1,1
2021,5,17,1,"f",2,134,NA,NA
2021,5,2,1,"m",8,135,NA,NA
2021,5,1,1,"m",12,143,NA,NA
2021,5,2,1,"m",9,132,NA,NA
2021,5,2,1,"f",9,131,0,0
2021,5,22,1,"f",0,106,NA,NA
2021,5,22,1,"f",1,95,NA,NA
2021,5,8,1,"f",8,130,1,1
2021,5,8,1,"m",2,120,NA,NA
2021,5,8,1,"f",1,100,NA,NA
2021,5,8,1,"m",2,120,NA,NA
2021,5,7,1,"m",0,60,NA,NA
2021,5,18,1,"m",5,110,NA,NA
2021,5,2,1,"f",2,136,NA,NA
2021,5,2,1,"f",0,90,NA,NA
2021,5,2,1,"m",6,140,NA,NA
2021,5,2,1,"f",5,120,0,0
2021,5,31,1,"m",0,85,NA,NA
2021,5,21,1,"f",0,92,NA,NA
2021,5,13,1,"f",9,120,NA,0
2021,5,9,1,"f",0,80,NA,NA
2021,5,12,1,"f",12,120,0,0
2021,5,12,1,"m",1,135,NA,NA
2021,5,3,1,"m",20,151,NA,NA
2021,5,12,1,"m",26,135,NA,NA
2021,5,7,1,"m",0,58,NA,NA
2021,5,8,1,"m",9,145,NA,NA
2021,5,4,1,"m",0,80,NA,NA
2021,5,13,1,"m",17,145,NA,NA
2021,5,12,1,"f",11,125,1,1
2021,5,12,1,"m",22,152,NA,NA
2021,5,12,1,"f",7,125,0,0
2021,5,13,1,"m",12,145,NA,NA
2021,5,8,1,"m",0,70,NA,NA
2021,5,9,1,"m",2,120,NA,NA
2021,5,11,1,"f",1,90,NA,NA
2021,5,11,1,"m",3,90,NA,NA
2021,5,12,1,"f",8,107,0,0
2021,5,8,1,"m",22,125,NA,NA
2021,5,12,1,"m",2,80,NA,NA
2021,5,13,1,"f",3,95,0,0
2021,5,12,1,"f",14,100,1,1
2021,5,8,1,"f",0,101,NA,NA
2021,5,8,1,"f",0,70,NA,NA
2021,5,8,1,"m",0,70,NA,NA
2021,5,8,1,"f",0,80,NA,NA
2021,5,8,1,"f",4,119,0,0
2021,5,8,1,"f",15,150,1,1
2021,5,8,1,"m",3,117,NA,NA
2021,5,5,1,"m",2,102,NA,NA
2021,5,5,1,"m",12,122,NA,NA
2021,5,8,1,"m",0,70,NA,NA
2021,5,8,1,"f",10,160,0,0
2021,5,8,1,"m",24,138,NA,NA
2021,5,8,1,"f",20,156,1,NA
2021,5,8,1,"m",13,136,NA,NA
2021,5,8,1,"f",15,140,1,NA
2021,5,8,1,"f",12,162,0,NA
2021,5,8,1,"f",14,150,1,1
2021,5,8,1,"f",23,150,0,NA
2021,5,9,4,"f",0,81,NA,NA
2021,5,8,4,"m",0,105,NA,NA
2021,5,1,1,"m",20,121,NA,NA
2021,5,1,1,"m",18,150,NA,NA
2021,5,9,1,"m",9,NA,NA,NA
2021,5,13,1,"m",2,102,NA,NA
2021,5,13,1,"m",8,145,NA,NA
2021,5,14,1,"m",17,154,NA,NA
2021,12,30,4,"m",0,80,NA,NA
2022,4,24,1,"f",2,135,0,NA
2022,4,25,1,"f",1,105,0,NA
2022,4,25,1,"f",2,120,0,NA
2022,4,25,1,"m",20,155,NA,NA
2022,4,19,1,"f",9,130,1,1
2022,4,23,1,"m",0,70,NA,NA
2022,4,27,1,"f",NA,140,NA,NA
2022,4,21,1,"f",1,100,0,0
2022,4,23,1,"m",26,130,NA,NA
2022,4,27,1,"f",1,90,0,0
2022,4,23,1,"f",15,155,0,0
2022,4,23,1,"f",14,155,0,0
2022,4,16,1,"f",5,120,0,0
2022,4,17,1,"f",8,155,1,1
2022,4,16,1,"f",10,140,0,0
2022,4,23,1,"m",16,165,NA,NA
2022,4,16,1,"f",12,148,0,0
2022,4,16,1,"f",16,165,1,0
2022,4,17,1,"m",NA,135,NA,NA
2022,4,18,1,"m",NA,100,NA,NA
2022,4,17,1,"m",NA,90,NA,NA
2022,4,17,1,"m",NA,100,NA,NA
2022,4,18,1,"m",NA,100,NA,NA
2022,4,18,1,"m",NA,110,NA,NA
2022,4,17,1,"m",NA,100,NA,NA
2022,4,17,1,"m",NA,100,NA,NA
2022,4,18,1,"f",0,100,NA,NA
2022,4,18,1,"f",26,110,NA,NA
2022,4,18,1,"f",12,95,NA,NA
2022,4,17,1,"m",NA,100,NA,NA
2022,4,17,1,"m",NA,110,NA,NA
2022,4,18,1,"m",NA,123,NA,NA
2022,5,23,1,"m",NA,150,NA,NA
2022,5,25,1,"f",0,98,0,NA
2022,5,26,1,"m",0,90,NA,NA
2022,5,25,1,"f",0,90,0,NA
2022,5,15,1,"f",7,120,1,NA
2022,5,15,1,"f",11,130,1,1
2022,5,17,1,"f",10,125,0,0
2022,5,17,1,"m",0,95,NA,NA
2022,5,17,1,"f",6,130,1,NA
2022,5,17,1,"f",7,130,1,1
2022,5,17,1,"f",8,120,1,0
2022,5,16,1,"m",10,135,NA,NA
2022,5,16,1,"f",0,80,0,NA
2022,5,16,1,"m",8,137,NA,NA
2022,5,16,1,"f",8,130,0,0
2022,5,10,1,"f",7,125,1,1
2022,5,13,1,"m",0,78,NA,NA
2022,5,13,1,"f",0,110,0,0
2022,5,4,1,"f",0,86,0,0
2022,5,13,1,"m",18,142,NA,NA
2022,5,4,1,"f",9,130,1,1
2022,5,14,1,"f",0,84,0,NA
2022,5,4,1,"m",2,113,NA,NA
2022,5,20,1,"m",2,108,NA,NA
2022,5,19,1,"f",0,60,0,0
2022,5,13,1,"m",NA,140,NA,NA
2022,5,13,1,"m",1,110,NA,NA
2022,5,12,1,"m",NA,120,NA,NA
2022,5,13,1,"f",5,120,0,0
2022,5,13,1,"m",NA,148,NA,NA
2022,5,12,1,"f",2,110,0,0
2022,5,12,1,"f",2,110,0,0
2022,5,12,1,"f",14,130,1,1
2022,5,13,1,"f",11,120,0,0
2022,5,25,1,"f",5,90,1,1
2022,5,25,1,"m",NA,108,NA,NA
2022,5,18,1,"f",2,104,0,0
2022,5,25,1,"f",9,90,1,1
2022,5,24,1,"f",8,100,1,1
2022,5,25,1,"m",1,100,NA,NA
2022,5,30,1,"m",0,60,NA,NA
2022,5,24,1,"f",2,100,0,0
2022,5,25,1,"f",10,100,1,1
2022,5,24,1,"f",2,100,0,0
2022,5,24,1,"f",1,70,0,0
2022,5,8,1,"f",2,106,0,0
2022,5,14,1,"f",1,91,0,0
2022,5,25,1,"m",NA,150,NA,NA
2022,5,8,1,"m",NA,110,NA,NA
2022,5,25,1,"m",NA,90,NA,NA
2022,5,21,1,"f",0,84,0,0
2022,5,21,1,"m",NA,161,NA,NA
2022,5,21,1,"m",NA,90,NA,NA
2022,5,19,1,"m",0,70,NA,NA
2022,5,20,1,"f",11,130,1,1
2022,5,19,1,"m",NA,150,NA,NA
2022,5,20,1,"f",8,120,0,0
2022,5,23,1,"f",8,100,1,1
2022,5,19,1,"m",16,120,NA,NA
2022,5,19,1,"f",6,110,1,1
2022,5,19,1,"f",11,140,1,1
2022,5,20,1,"f",10,120,1,1
2022,5,20,1,"f",11,134,1,1
2022,5,19,1,"m",1,110,NA,NA
2022,5,19,1,"m",NA,147,NA,NA
2022,5,20,1,"f",1,105,NA,NA
2022,5,19,1,"f",12,145,1,1
2022,5,20,1,"f",5,105,1,0
2022,5,20,1,"f",3,132,0,0
2022,5,19,1,"f",8,155,0,0
2022,5,20,1,"m",1,93,NA,NA
2022,5,20,1,"f",9,149,1,0
2022,5,20,1,"m",NA,120,NA,NA
2022,5,20,1,"f",7,123,0,0
2022,5,20,1,"m",NA,132,NA,NA
2022,5,20,1,"m",NA,145,NA,NA
2022,5,21,1,"f",13,150,0,0
2022,5,21,1,"f",7,140,1,0
2022,5,19,1,"f",0,75,NA,NA
2022,5,21,1,"f",10,128,1,1
2022,5,21,1,"m",3,125,NA,NA
2022,5,21,1,"f",11,130,1,1
2022,5,20,1,"f",16,130,0,0
2022,5,25,1,"m",1,85,NA,NA
2022,5,21,1,"f",2,139,0,0
2022,5,21,1,"f",1,110,0,0
2022,5,21,1,"f",14,131,1,1
2022,5,21,1,"f",NA,NA,0,0
2022,5,21,1,"m",NA,NA,NA,NA
2022,5,21,1,"m",NA,NA,NA,NA
2022,5,20,1,"m",NA,NA,NA,NA
2022,5,20,1,"m",NA,NA,NA,NA
2022,5,20,1,"m",NA,NA,NA,NA
2022,5,20,1,"m",NA,NA,NA,NA
2022,5,24,1,"m",NA,110,NA,NA
2022,5,21,1,"m",NA,105,NA,NA
2022,5,21,1,"f",8,100,NA,NA
2022,5,21,1,"f",4,100,NA,NA
2022,5,21,1,"m",NA,100,NA,NA
2022,6,1,1,"m",0,70,NA,NA
2022,6,3,1,"m",0,70,NA,NA
2022,6,3,1,"m",0,70,NA,NA
2022,6,30,5,"m",0,NA,NA,NA
2022,10,30,4,"m",0,100,NA,NA
2022,10,30,4,"m",NA,100,NA,NA
2022,10,30,4,"m",0,100,NA,NA
2022,12,22,4,"m",0,100,NA,NA
2022,12,22,4,"m",0,100,NA,NA
2023,5,11,1,"f",NA,101,NA,NA
2023,5,11,1,"m",NA,55,NA,NA
2023,4,16,1,"m",NA,NA,NA,NA
2023,5,15,1,"m",NA,65,NA,NA
2023,5,15,1,"f",NA,90,NA,NA
2023,5,15,1,"m",NA,100,NA,NA
2023,5,8,1,"f",NA,130,NA,NA
2023,5,8,1,"m",NA,70,NA,NA
2023,5,8,1,"f",NA,70,NA,NA
2023,5,5,1,"m",NA,140,NA,NA
2023,5,7,1,"f",NA,120,NA,NA
2023,5,17,1,"f",NA,100,NA,NA
2023,5,15,1,"m",NA,130,NA,NA
2023,5,5,1,"m",NA,80,NA,NA
2023,5,5,1,"m",NA,120,NA,NA
2023,5,5,1,"m",NA,70,NA,NA
2023,5,5,1,"m",NA,120,NA,NA
2023,4,17,1,"f",NA,100,NA,NA
2023,4,21,1,"m",NA,120,NA,NA
2023,4,17,1,"f",NA,100,NA,NA
2023,4,17,1,"m",NA,125,NA,NA
2023,4,19,1,"f",NA,120,NA,NA
2023,4,19,1,"m",NA,130,NA,NA
2023,4,19,1,"f",NA,120,NA,NA
